"ISSCAAP_Group","Taxonomic_Code","Alpha3_Code","Scientific_Name","English_name","French_name","Spanish_name","Arabic_name","Chinese_name","Russian_name","Author","Family","Order","FishStat_Data"
11,"140001000101","YCL","Cycleptus elongatus","Blue sucker","","","","","","(Lesueur 1817)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001000201","DEU","Deltistes luxatus","Lost River sucker","","","","","","(Cope 1879)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001000401","ATC","Catostomus catostomus","Longnose sucker","","","","","","(Forster 1773)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001000402","ATO","Catostomus commersoni","White sucker","","","","","","(Lacépède 1803)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001000403","ATS","Catostomus latipinnis","Flannelmouth sucker","","","","","","Baird & Girard 1853","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001000404","ATU","Catostomus macrocheilus","Largescale sucker","","","","","","Girard 1856","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001000405","ATE","Catostomus tahoensis","Tahoe sucker","","","","","","Gill & Jordan 1878","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001000601","MOG","Moxostoma congestum","Gray redhorse","","","","","","(Baird & Girard 1854)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001000602","MOE","Moxostoma erythrurum","Golden redhorse","","","","","","(Rafinesque 1818)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001000603","MOM","Moxostoma macrolepidotum","Shorthead redhorse","","","","","","(Lesueur 1817)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001000901","LAL","Lagochila lacera","Harelip sucker","","","","","","Jordan & Brayton 1877-78","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001001101","BUB","Ictiobus cyprinellus","Bigmouth buffalo","Poisson-taureau","","","大口胭脂鱼","","(Valenciennes 1844)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"1400010011XX","BUF","Ictiobus spp","Buffalofishes nei","Poissons-taureaux nca","","","","Буффало","","CATOSTOMIDAE","CYPRINIFORMES","YES"
11,"140001002001","MXS","Myxocyprinus asiaticus","Chinese sucker","","","","胭脂鱼","","(Bleeker 1865)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001002901","CDO","Carpiodes carpio","River carpsucker","","","","","","(Rafinesque 1820)","CATOSTOMIDAE","CYPRINIFORMES","YES"
11,"140001010601","XYT","Xyrauchen texanus","Razorback sucker","","","","","","(Abbott 1861)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001012001","ATJ","Chasmistes cujus","Cui-ui","","","","","","Cope 1883","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001012801","MIM","Minytrema melanops","Spotted sucker","","","","","","(Rafinesque 1820)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001012901","ERU","Erimyzon sucetta","Lake chubsucker","","","","","","(Lacépède 1803)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"140001013701","HYN","Hypentelium nigricans","Northern hog sucker","","","","","","(Lesueur 1817)","CATOSTOMIDAE","CYPRINIFORMES","NO"
11,"1400010XXXXX","CTM","Catostomidae","Suckers nei","Cyprins sucets nca","Chupadores nep","","","","","CATOSTOMIDAE","CYPRINIFORMES","YES"
11,"140002000102","FBM","Abramis brama","Freshwater bream","Brème d'eau douce","Brema común","","欧鳊","Лещ","(Linnaeus 1758)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"1400020001XX","FBR","Abramis spp","Freshwater breams nei","Brèmes d'eau douce nca","Bremas nep","","","Лещи","","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002000201","FCP","Cyprinus carpio","Common carp","Carpe commune","Carpa común","","鲤","Сазан(=карп)","Linnaeus 1758","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002000202","FPR","Cyprinus pellegrini","Barbless carp","","","","大头鲤","","Tchang 1933","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002000203","FIA","Cyprinus intha","","","","","","","Annandale 1918","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002000401","AAX","Aaptosyax grypus","","","","","","","Rainboth 1991","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002000501","ABB","Abbottina rivularis","Chinese false gudgeon","","","","棒花鱼","","(Basilewsky 1855)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002000601","AHL","Acanthalburnus microlepis","Blackbrow bleak","","","","","","(De Filippi 1861)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002000701","FTE","Tinca tinca","Tench","Tanche","Tenca","","丁鱥","Линь","(Linnaeus 1758)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002000801","ATA","Acapoeta tanganicae","","","","","","","(Boulenger 1900)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001201","ALR","Alburnus alburnus","Bleak","Ablette","Alburno","","","Уклейка","(Linnaeus 1758)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001202","ABD","Alburnus albidus","","","","","","","(Costa 1838)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001301","PTB","Barbus barbus","Barbel","Barbeau fluviatile","Barbo común","","","","(Linnaeus 1758)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001302","BUD","Barbus meridionalis","Mediterranean barbel","","","","","","Risso 1827","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001303","BBQ","Barbus canis","","","","","","","Valenciennes 1842","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001304","BBN","Barbus aeneus","Smallmouth yellowfish","","","","","","(Burchell 1822)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001305","BBJ","Barbus capensis","Clanwilliam yellowfish","","","","","","Smith 1841","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001307","BUH","Barbus haasi","","","","","","","Mertens 1925","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001308","BUO","Barbus holotaenia","Spotscale barb","","","","","","Boulenger 1904","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001309","BUJ","Barbus johnstonii","","","","","","","Boulenger 1907","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001310","BUI","Barbus macrotaenia","Broadband barb","","","","","","Worthington 1933","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001311","BUY","Barbus neumayeri","","","","","","","Fischer 1884","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001314","BUN","Barbus longiceps","","","","","","","Valenciennes 1842","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001315","BSJ","Barbus plebejus","","","","","","","Bonaparte 1839","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001328","BBU","Barbus altianalis","Ripon barbel","","","","","","Boulenger 1900","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001329","BBI","Barbus altidorsalis","","","","","","","Boulenger 1908","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001332","BBK","Barbus callensis","Algerian barb","","","","","","Valenciennes 1842","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001333","BUE","Barbus eurystomus","","","","","","","Keilhack 1908","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001334","BUL","Barbus lineomaculatus","Line-spotted barb","","","","","","Boulenger 1903","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001335","BSN","Barbus unitaeniatus","Slender barb","","","","","","Günther 1866","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001337","BUU","Barbus paludinosus","Straightfin barb","","","","","","Peters 1852","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001338","BSI","Barbus perince","","","","","","","Rüppell 1836","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001340","BSM","Barbus mattozi","Papermouth","","","","","","Guimaraes 1884","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001341","BUQ","Barbus marequensis","Largescale yellowfish","","","","","","Smith 1841","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001343","BST","Barbus trimaculatus","Threespot barb","","","","","","Peters 1852","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001344","BSO","Barbus tropidolepis","","","","","","","Boulenger 1900","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001345","BBZ","Barbus cyclolepis","","","","","","","Heckel 1837","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001401","HON","Chondrostoma nasus","Common nase","Nase commun","Condrostoma común","سمكة شبّوط شائعة","软口鱼","","(Linnaeus 1758)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001402","HOX","Chondrostoma toxostoma","","","","","","","(Vallot 1837)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001403","HOY","Chondrostoma polylepis","Iberian nase","","","","","","Steindachner 1864","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001404","HOS","Chondrostoma soetta","","","","","","","Bonaparte 1840","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001405","HOG","Chondrostoma genei","","","","","","","(Bonaparte 1839)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001501","AGE","Agosia chrysogaster","Longfin dace","","","","","","Girard 1856","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001601","FCC","Carassius carassius","Crucian carp","Carassin(=Cyprin)","Carpín","","黑鲫","Карась золотой","(Linnaeus 1758)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001602","CGO","Carassius auratus","Goldfish","Poisson rouge(=Cyprin doré)","Pez rojo","","鲫","Карась  серебряный","(Linnaeus 1758)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001603","IUV","Carassius cuvieri","Japanese white crucian carp","","","","日本白鲫","","Temminck & Schlegel 1846","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001604","CWG","Carassius gibelio","Prussian carp","Carassin argenté","","","银鲫","","(Bloch 1782)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"1400020016XX","WDX","Carassius spp","","","","","鲫类","","","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001701","GOG","Gobio gobio","Gudgeon","Goujon","","","","","(Berg 1949)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001702","GOP","Gobio albipinnatus","White-finned gudgeon","","","","","","Lukasch 1933","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001801","FRO","Rutilus rutilus","Roach","Gardon","Rutilo","","拟鲤","Плотва","(Linnaeus 1758)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001802","RFR","Rutilus frisii","Kutum","","","","","Кутум","(Nordmann 1840)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001803","RTR","Rutilus rubilio","","","","","","","(Bonaparte 1837)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001809","RLA","Rutilus alburnoides","","","","","","","(Steindachner 1866)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001811","RFZ","Rutilus lemmingii","","","Pardilla","","","","(Steindachner 1866)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002001812","RWC","Rutilus caspicus","Caspian roach","","","","","","(Yakovlev 1870)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"1400020018XX","FRX","Rutilus spp","Roaches nei","Gardons nca","Rutilos nep","","","","","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002001901","SRE","Scardinius erythrophthalmus","Rudd","Rotengle","Escardinio","","","Красноперка","(Linnaeus 1758)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002002001","FID","Leuciscus idus","Orfe(=Ide)","Ide mélanote","Cachuelo","بُرعان أبيض","圆腹雅罗鱼","Язь","(Linnaeus 1758)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002002003","LUC","Leuciscus cephaloides","","","","","","","Battalgil 1942","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002005","FIE","Leuciscus leuciscus","Common dace","Vandoise","Leucisco","فاندوازة","雅罗鱼","","(Linnaeus 1758)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002002006","LUY","Leuciscus borysthenicus","Dnieper chub","","","","","","(Kessler 1859)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002009","LUP","Leuciscus polylepis","","","","","","","(Steindachner 1866)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002010","LUR","Leuciscus pyrenaicus","","","","","","","Günther 1868","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002012","VLS","Leuciscus schmidti","Schmidt's dace","","","","","Чебак иссык-кульский","(Herzenstein 1896)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002013","VLB","Leuciscus bergi","Issyk-Kul dace","","","","","Чебачек иссык-кульский","Kashkarov 1925","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002014","JNE","Leuciscus baicalensis","Siberian dace","","","","贝加尔雅罗鱼","","(Dybowski 1874)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"1400020020XX","LEW","Leuciscus spp","Chubs nei","","","","","","","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002002101","RHM","Rhodeus amarus","","","","","","","(Bloch 1782)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002102","ROO","Rhodeus ocellatus","Rosy bitterling","","","","","","Kner 1866","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002103","ROR","Rhodeus sericeus","Bitterling","","","","","","(Pallas 1776)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002301","TBT","Tribolodon taczanowskii","","","","","","","(Steindachner 1881)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002302","TFZ","Tribolodon hakonensis","Big-scaled redfin","","","","","","(Günther 1877)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002303","ZTB","Tribolodon brandtii","Far Eastern ide","","","","","","(Dybowski 1872)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002401","LBG","Labeo angra","","","","","","","(Hamilton 1822)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002403","LBB","Labeo bata","","","","","","","(Hamilton 1822)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002002404","LBO","Labeo boga","","","","","","","(Hamilton 1822)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002405","LCB","Labeo calbasu","Orangefin labeo","Labéo","Labeo","لابِييُو","蓝野鲮","Калбасу","(Hamilton 1822)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002002406","LBD","Labeo dero","","","","","","","(Hamilton 1822)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002408","LBM","Labeo dussumieri","","","","","","","(Valenciennes 1842)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002002409","LBF","Labeo fimbriatus","Fringed-lipped peninsula carp","","","","","","(Bloch 1795)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002410","LBI","Labeo gonius","Kuria labeo","","","","","","(Hamilton 1822)","CYPRINIDAE","CYPRINIFORMES","YES"
11,"140002002411","LBJ","Labeo kontius","","","","","","","(Jerdon 1849)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002412","LOI","Labeo microphthalmus","","","","","","","Day 1877","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002413","LON","Labeo nandina","","","","","","","(Hamilton 1822)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002414","LOH","Labeo pangusia","","","","","","","(Hamilton 1822)","CYPRINIDAE","CYPRINIFORMES","NO"
11,"140002002415","LRH","Labeo rohita","Roho labeo","Labéo Roho","Labeo Roho","لبيس روهو","南亚野鲮","Роху","(Hamilton 1822)","CYPRINIDAE","CYPRINIFORMES","YES"
