plot	nr	d1	d2
11	2	152	159
11	3	134	126
11	4	156	171
11	6	158	160
11	7	97	90
11	8	154	159
11	10	161	165
11	11	141	138
11	12	157	164
11	13	130	128
11	14	129	128
11	15	142	143
11	16	141	138
11	17	166	172
11	19	104	110
11	20	85	90
11	21	127	135
11	22	55	57
11	24	101	104
11	27	114	119
11	28	125	131
11	30	184	194
11	31	104	100
11	32	184	192
11	34	113	116
11	35	142	144
11	36	112	119
11	37	121	119
11	38	149	151
11	39	148	143
11	40	152	153
11	41	161	167
11	42	119	121
11	44	152	159
11	45	126	121
11	46	156	161
11	47	155	156
11	48	81	76
11	49	135	139
11	50	153	161
11	54	151	153
11	55	125	121
11	56	132	135
11	57	186	181
11	58	117	113
11	59	184	195
11	60	166	160
11	61	155	161
11	63	148	153
11	64	197	206
11	66	130	129
11	67	94	96
11	69	90	98
11	72	111	117
11	73	107	106
11	74	144	156
11	75	150	147
11	76	130	129
11	77	148	167
11	79	147	145
11	80	144	146
11	82	196	204
11	83	94	92
11	84	81	85
12	3	97	96
12	4	133	131
12	5	194	196
12	7	122	120
12	10	145	155
12	12	132	131
12	13	139	139
12	14	97	94
12	16	113	107
12	18	146	154
12	22	132	133
12	24	133	129
12	25	146	141
12	28	120	121
12	31	101	100
12	33	145	143
12	35	137	141
12	36	133	135
12	37	141	144
12	39	141	134
12	42	134	136
12	43	79	83
12	45	158	156
12	47	175	173
12	49	125	126
12	51	151	159
12	53	121	122
12	55	95	99
12	56	114	110
12	57	147	152
12	58	155	147
12	60	141	141
12	61	130	120
12	63	151	154
12	64	105	104
12	66	133	131
12	68	161	163
12	70	122	125
12	72	123	129
12	76	171	182
12	79	94	95
12	80	65	67
12	81	94	95
12	82	127	131
12	83	146	150
12	87	118	120
12	88	111	115
12	89	142	140
12	90	148	149
12	92	87	94
12	93	135	137
12	100	113	109
12	101	166	159
12	103	147	147
12	105	122	134
12	107	103	108
12	110	172	180
12	113	166	169
12	114	139	136
12	116	104	102
12	117	165	165
12	119	150	147
12	120	108	111
12	122	152	160
12	123	141	142
12	125	130	134
12	127	75	71
12	131	163	171
12	136	100	102
12	139	125	128
12	142	162	176
12	144	158	160
13	4	123	115
13	5	102	102
13	14	152	159
13	19	109	118
13	26	64	65
13	28	78	84
13	30	128	128
13	32	122	121
13	34	140	143
13	36	153	143
13	40	146	152
13	44	125	130
13	46	91	101
13	48	110	115
13	50	123	119
13	53	111	114
13	58	137	141
13	62	135	132
13	63	117	112
13	65	143	147
13	67	116	123
13	75	120	130
13	77	92	96
13	80	61	64
13	84	102	107
13	91	90	97
13	95	97	100
13	98	117	121
13	105	153	163
13	107	81	86
13	109	74	78
13	116	132	133
13	118	169	163
13	119	110	108
13	120	176	181
13	125	120	118
13	126	178	180
13	134	83	83
13	136	184	187
13	138	151	156
13	147	123	127
13	152	107	110
13	154	127	133
13	155	110	109
13	157	88	89
13	163	142	140
13	164	120	115
13	166	122	128
13	169	104	107
13	172	103	107
13	183	85	92
13	185	124	130
13	190	139	145
13	192	101	105
13	195	135	141
13	199	127	130
13	201	96	102
13	203	113	115
13	204	117	123
13	209	98	108
13	216	116	119
13	220	165	166
13	223	115	118
13	225	132	122
13	228	92	91
13	231	120	124
13	234	118	122
13	237	145	152
13	239	83	83
13	246	95	97
13	254	102	100
13	255	145	147
13	257	132	140
13	264	125	133
13	265	148	150
13	266	101	111
13	268	104	112
13	271	75	80
13	275	173	178
13	283	144	155
13	285	96	100
13	287	64	73
14	3	68	74
14	7	135	131
14	10	110	111
14	12	90	90
14	14	96	97
14	16	78	81
14	25	94	94
14	29	75	78
14	31	144	152
14	35	120	131
14	42	105	104
14	45	125	128
14	46	100	99
14	49	102	102
14	54	132	139
14	59	117	121
14	65	93	90
14	68	162	169
14	82	116	119
14	84	147	145
14	94	142	154
14	97	42	40
14	99	58	61
14	101	105	103
14	103	184	176
14	104	130	127
14	109	74	76
14	121	127	135
14	124	76	73
14	142	134	137
14	151	127	130
14	159	115	122
14	163	97	106
14	164	55	55
14	169	89	91
14	172	131	134
14	176	84	82
14	184	110	112
14	186	133	132
14	198	64	64
14	205	67	66
14	207	144	145
14	209	123	119
14	212	118	120
14	220	125	127
14	226	73	74
14	227	63	62
14	229	92	95
14	232	65	73
14	245	111	121
14	255	145	148
14	258	55	53
14	260	86	90
14	264	140	139
14	267	142	143
14	272	89	93
14	279	95	95
14	281	124	126
14	294	114	111
14	300	57	59
14	306	82	88
14	308	77	79
14	309	84	87
14	315	124	126
14	317	80	86
14	323	54	53
14	324	63	65
14	329	105	115
14	330	48	50
14	333	40	40
14	335	69	77
14	352	112	112
14	354	100	103
14	357	44	45
14	360	61	64
14	366	39	40
14	368	110	116
14	372	157	164
14	374	89	92
14	377	112	115
14	379	121	117
14	381	131	131
14	393	96	103
14	396	58	61
14	397	39	45
14	401	132	135
14	405	88	89
14	416	154	160
14	418	49	47
14	419	79	77
14	420	96	96
14	430	67	71
14	439	141	145
14	454	162	165
14	459	97	97
14	464	119	121
14	471	117	124
14	474	109	110
14	477	111	111
14	481	49	44
14	483	71	70
14	489	110	107
14	494	62	62
14	495	90	95
14	501	151	162
14	507	124	126
14	509	109	107
14	511	146	141
21	1	187	195
21	4	183	183
21	6	191	200
21	7	152	141
21	9	104	102
21	10	162	171
21	11	151	145
21	12	147	139
21	13	153	157
21	14	174	177
21	15	77	79
21	18	120	130
21	19	115	114
21	20	137	136
21	21	110	107
21	22	157	165
21	24	133	142
21	25	92	95
21	26	207	204
21	28	141	140
21	29	154	163
21	30	138	139
21	31	175	168
21	32	113	110
21	34	145	152
21	36	134	145
21	38	155	159
21	39	57	56
21	40	120	119
21	41	162	171
21	42	130	134
21	44	148	150
21	45	102	96
21	46	162	161
21	47	181	180
21	48	164	159
21	49	131	140
21	51	117	114
21	52	204	201
21	54	151	163
21	55	151	145
21	56	180	186
21	58	103	108
21	60	152	162
21	61	174	176
21	62	129	130
21	63	166	167
21	64	125	129
21	66	138	138
21	67	122	126
21	69	129	129
21	71	140	148
21	73	125	128
21	75	146	158
21	77	132	132
21	78	128	130
21	79	138	147
21	80	173	166
21	81	131	127
21	82	144	140
21	83	142	144
21	84	144	141
22	1	134	138
22	3	93	93
22	5	157	162
22	6	123	132
22	7	110	119
22	9	92	95
22	11	76	80
22	13	106	108
22	14	148	155
22	15	118	115
22	16	156	149
22	18	121	118
22	20	114	125
22	23	192	189
22	25	117	117
22	26	127	124
22	27	135	133
22	29	131	128
22	31	119	119
22	33	150	146
22	35	142	139
22	37	180	182
22	38	104	106
22	41	108	109
22	43	168	161
22	44	151	149
22	46	111	111
22	48	97	101
22	51	83	79
22	53	103	108
22	54	144	151
22	56	147	143
22	58	163	166
22	61	143	153
22	63	147	151
22	64	126	114
22	65	169	173
22	66	151	148
22	70	135	138
22	73	127	137
22	74	122	116
22	75	106	109
22	76	91	92
22	78	115	120
22	83	99	97
22	84	84	84
22	86	137	141
22	87	123	124
22	89	101	102
22	92	109	111
22	93	145	151
22	95	93	95
22	96	98	99
22	98	170	170
22	100	97	99
22	101	104	105
22	102	161	168
22	104	54	55
22	105	97	102
22	107	143	145
22	108	106	108
22	110	168	158
22	111	161	154
22	114	116	115
22	115	116	114
22	117	147	149
22	119	116	119
22	121	123	126
22	123	99	106
22	125	135	145
22	128	91	91
22	132	179	189
22	134	133	137
22	135	104	104
22	136	97	93
22	137	150	152
22	139	155	153
22	140	134	142
22	142	126	135
22	144	107	113
23	1	120	126
23	3	80	83
23	6	168	171
23	9	116	118
23	10	151	149
23	16	72	71
23	18	138	139
23	21	111	109
23	36	140	139
23	39	159	157
23	41	131	139
23	44	103	109
23	47	132	143
23	49	117	112
23	50	125	119
23	52	125	127
23	56	101	105
23	58	159	162
23	75	128	134
23	79	111	113
23	84	96	92
23	88	90	89
23	90	156	159
23	92	126	132
23	95	146	148
23	97	100	100
23	101	145	140
23	104	164	171
23	110	168	170
23	112	51	51
23	117	111	118
23	123	114	113
23	129	141	141
23	131	94	95
23	132	109	109
23	135	96	98
23	137	163	163
23	143	109	111
23	144	154	154
23	146	131	131
23	148	102	102
23	150	147	149
23	152	113	112
23	163	81	80
23	164	139	148
23	165	144	138
23	171	107	116
23	174	134	136
23	179	110	115
23	183	144	151
23	184	134	143
23	191	76	76
23	193	101	104
23	194	88	92
23	201	138	144
23	209	95	97
23	213	100	110
23	220	128	127
23	224	109	115
23	228	104	102
23	230	139	142
23	231	129	131
23	236	146	145
23	238	114	117
23	245	128	131
23	247	115	111
23	249	141	141
23	251	168	161
23	257	134	141
23	261	67	71
23	264	131	133
23	266	99	100
23	267	184	185
23	282	178	178
23	285	137	138
24	4	90	101
24	8	91	97
24	16	117	110
24	19	97	98
24	21	145	149
24	25	91	98
24	30	76	80
24	31	39	42
24	34	86	90
24	38	125	125
24	61	139	146
24	68	62	61
24	72	105	106
24	73	132	130
24	77	103	105
24	78	134	137
24	81	83	84
24	84	79	85
24	87	140	142
24	92	126	133
24	98	152	160
24	100	55	54
24	102	89	88
24	115	97	97
24	117	64	67
24	122	108	111
24	126	61	63
24	127	72	75
24	141	75	84
24	143	85	86
24	150	79	81
24	160	75	73
24	168	110	112
24	172	137	143
24	177	146	152
24	179	49	50
24	183	122	125
24	185	42	44
24	187	66	69
24	189	68	77
24	191	122	125
24	194	67	64
24	196	116	123
24	207	105	105
24	212	121	120
24	214	158	166
24	220	153	150
24	229	77	73
24	231	141	151
24	241	98	101
24	244	101	105
24	250	119	115
24	255	98	101
24	259	72	73
24	268	138	143
24	279	115	118
24	281	120	126
24	283	86	89
24	286	70	73
24	290	85	86
24	294	89	94
24	296	73	75
24	298	153	155
24	302	53	55
24	317	103	105
24	324	130	127
24	328	89	97
24	331	64	63
24	333	90	94
24	336	85	87
24	340	123	127
24	341	123	124
24	346	76	84
24	353	135	136
24	358	108	109
24	367	119	120
24	369	102	100
24	370	52	52
24	376	87	91
24	377	100	105
24	382	45	42
24	387	102	103
24	391	129	133
24	394	84	85
24	395	115	116
24	398	107	110
24	407	56	62
24	412	111	112
24	421	93	96
24	424	96	102
24	432	106	110
24	437	109	114
24	439	83	79
24	440	119	119
24	442	69	68
24	446	84	84
24	448	61	67
24	450	104	103
24	452	73	78
24	455	61	59
24	458	141	142
24	461	82	86
24	466	89	92
24	469	114	119
24	476	88	87
24	492	74	80
24	506	103	107
24	510	67	68
24	512	136	141
