site	plot	nr	height	dbh
1012	11	2	126	155.4606059
1012	11	3	106	129.938447
1012	11	4		163.3278911
1012	11	6		158.9968553
1012	11	7	111	93.43446901
1012	11	8	122	156.4800307
1012	11	10	120	162.9877296
1012	11	11		139.4919353
1012	11	12		160.4618335
1012	11	13	118	128.996124
1012	11	14		128.4990272
1012	11	15		142.4991228
1012	11	16	119	139.4919353
1012	11	17		168.9733707
1012	11	20		87.46427842
1012	11	21		130.9389171
1012	11	24		102.4890238
1012	11	27	109	116.4731729
1012	11	28		127.9648389
1012	11	30	128	188.9338509
1012	11	31		101.9803903
1012	11	32		187.957442
1012	11	34		114.4901743
1012	11	35		142.9965035
1012	11	36		115.4469575
1012	11	37		119.9958333
1012	11	38	117	149.9966666
1012	11	39		145.4785208
1012	11	40		152.4991803
1012	11	41		163.9725587
1012	11	42	113	119.9958333
1012	11	44	114	155.4606059
1012	11	45		123.4746938
1012	11	46	128	158.4802827
1012	11	47	103	155.4991961
1012	11	48	108	78.46018098
1012	11	49		136.9854007
1012	11	50		156.9490363
1012	11	54		151.9967105
1012	11	55		122.9837388
1012	11	56		133.4915728
1012	11	57		183.4829692
1012	11	58		114.9826074
1012	11	59	131	189.4201679
1012	11	60	117	162.9723903
1012	11	61		157.9715164
1012	11	63		150.4792344
1012	11	64		201.4497456
1012	11	66		129.4990347
1012	11	67	106	94.9947367
1012	11	69	118	93.91485505
1012	11	72		113.9605195
1012	11	73		106.4988263
1012	11	74	126	149.879952
1012	11	75	119	148.492424
1012	11	76		129.4990347
1012	11	77		157.213231
1012	11	79		145.9965753
1012	11	80	104	144.9965517
1012	11	82		199.959996
1012	11	83		92.9946235
1012	11	84		82.97590012
