PlotNum,CoverType,TreeNum,DBH,HT
5,Red pine,46,13,51
5,Red pine,50,8.3,54
5,Red pine,54,8.2,48
5,Red pine,56,11.8,55
5,Red pine,63,9,54
5,Red pine,71,12.5,46
11,Cut,47,25.3,90
13,Red pine,1,16.2,85
13,Red pine,2,18.8,86
13,Red pine,7,22.2,90
13,Red pine,9,20.8,88
13,Red pine,11,18.8,86
13,Red pine,12,16.8,86
15,Aspen,38,11.1,81
15,Aspen,39,15.2,72
15,Aspen,40,15.8,80
18,Red pine,29,11.8,63.1
22,Red pine,28,10,54
22,Red pine,29,8.9,52
22,Red pine,36,8.4,47
22,Red pine,52,8.9,50
22,Red pine,59,7.5,47
22,Red pine,61,7,51
22,Red pine,73,6.6,48
22,Red pine,75,7.4,49
23,Red pine,2,18.9,92
23,Red pine,23,17.9,101
24,Red pine,4,15.3,103
24,Red pine,18,9.4,100
24,Red pine,30,11.7,103
24,Red pine,38,12.9,103
24,Red pine,46,11.2,101
24,Red pine,59,12.4,103
24,Red pine,68,13.3,100
24,Red pine,70,5.6,80
24,Red pine,90,8.1,96
24,Red pine,99,11.4,102
24,Red pine,109,10.4,92
24,Red pine,110,8.9,98
24,Red pine,111,13.1,96
24,Red pine,113,11.8,100
24,Red pine,115,6.7,95
25,Red pine,40,19.3,70
25,Red pine,48,15.3,69
25,Red pine,54,12.1,63
25,Red pine,59,14,68
25,Red pine,62,12.1,67
29,Aspen,29,3.1,38
29,Aspen,30,3.6,37
29,Aspen,43,10.2,65
30,Red pine,4,19.9,96
30,Red pine,8,24.7,103
30,Red pine,12,24,90
31,Red pine,47,19,79
31,Red pine,49,18.3,79.2
31,Red pine,51,17.6,75.8
31,Red pine,53,14.6,76
31,Red pine,63,6.8,55
32,Red pine,3,18.8,89
32,Red pine,12,18.9,79
32,Red pine,32,13.5,70
33,Red pine,13,18.7,92
33,Red pine,28,18.5,87
33,Red pine,53,11.6,76
34,Paper birch,26,23.9,89
34,Paper birch,56,13.7,65
35,Red pine,32,15.9,91
35,Red pine,37,19.9,95
35,Red pine,38,16.2,99
40,White spruce,4,32.3,104
41,Red pine,1,27.7,108
41,Red pine,5,24.5,101
41,Red pine,18,25.6,102
41,Red pine,19,21.8,95
43,White pine,64,9.7,55
45,Red pine,1,23.7,110
45,Red pine,2,24.3,107
45,Red pine,13,27.3,102
45,Red pine,17,22.1,107
49,Aspen,104,11.4,56
49,Aspen,169,9.3,42
49,Aspen,172,8.1,46
53,Aspen,2,20.6,94
53,Aspen,3,23.8,97
65,Upland mixed hardwoods,22,10.2,65
65,Upland mixed hardwoods,24,11.8,64
79,Red pine,84,10.8,82
82,Cut,1,5.5,22
82,Cut,3,2.1,15
82,Cut,4,2.4,16
83,Right of way,1,21,96
83,Right of way,2,23.2,106
83,Right of way,6,23.1,105
83,Right of way,11,24.3,104
89,Red pine,5,21.3,94
89,Red pine,7,20.6,95
89,Red pine,39,16.2,92
93,Red pine,1,19.1,104
93,Red pine,3,19.6,102
93,Red pine,4,19.9,100
93,Red pine,18,20.4,102
93,Red pine,24,14.3,102
93,Red pine,25,19.4,104
93,Red pine,28,19.8,103
93,Red pine,33,23,103
93,Red pine,37,8.6,50
98,Aspen,24,10.1,58
98,Aspen,25,12.9,60
100,White spruce,30,22.9,108.7
100,White spruce,63,8.9,35
100,White spruce,64,10.2,37
100,White spruce,72,8.3,42
101,Red pine,64,9.5,44
101,Red pine,65,8.2,46
101,Red pine,67,7.6,43
101,Red pine,72,9.1,50
101,Red pine,73,9.9,43
101,Red pine,78,8.5,41
102,Red pine,48,8.7,63
102,Red pine,50,7,62
102,Red pine,60,10.8,64
102,Red pine,61,10.6,64
102,Red pine,62,12.8,60
102,Red pine,65,8.2,65
102,Red pine,67,9.7,65
102,Red pine,68,9.5,64
102,Red pine,70,7,64
102,Red pine,74,7.8,64
102,Red pine,75,7.3,62
102,Red pine,77,7.2,55
102,Red pine,78,10.2,54
102,Red pine,80,9.9,63
102,Red pine,88,6.9,62
102,Red pine,90,7.2,62
102,Red pine,91,8.8,64
102,Red pine,92,8.2,62
102,Red pine,93,9.9,64
102,Red pine,94,6.9,62
102,Red pine,95,8.3,64
102,Red pine,97,13.2,60
102,Red pine,98,9.1,62
102,Red pine,103,6.8,63
102,Red pine,115,7.7,46
102,Red pine,124,7.3,45
102,Red pine,132,7.2,64
102,Red pine,133,5,56
103,Red pine,38,16,80
103,Red pine,48,10.4,70
103,Red pine,50,11.8,83
103,Red pine,51,11.1,80
103,Red pine,52,12.2,80
103,Red pine,54,4,40
103,Red pine,60,3.4,36
103,Red pine,73,12.9,72
110,Scotch pine,11,17,100
110,Scotch pine,39,20.2,99
110,Scotch pine,49,12.4,90
111,Red pine,16,19.6,70
111,Red pine,19,16.1,65
111,Red pine,39,14.7,75
113,Red pine,4,9.4,72
113,Red pine,7,24.3,109
113,Red pine,15,16.8,85
113,Red pine,24,18.5,90
113,Red pine,25,11.5,92
113,Red pine,49,14.5,82
114,Red pine,72,7.1,43
114,Red pine,75,6.9,40
114,Red pine,92,3.8,28
114,Red pine,95,6,44
117,Aspen,11,24.5,102
119,Jack pine,62,11.3,72
119,Jack pine,65,11.7,70
119,Jack pine,70,10.4,63
121,Red pine,42,12.6,85
121,Red pine,84,10.7,63
121,Red pine,89,11.6,60
122,Red pine,47,12.4,77
123,Red pine,6,17.2,101
123,Red pine,28,10,56
123,Red pine,29,4.8,41
125,Jack pine,48,8.8,43
126,Aspen,52,3.4,23
127,Red pine,39,11.9,48
127,Red pine,47,19.3,84
129,Right of way,3,23.1,106
129,Right of way,11,13.2,80
130,Red pine,1,21.1,94
130,Red pine,2,16.1,83
130,Red pine,3,16.1,83
130,Red pine,8,15.1,82
130,Red pine,10,20.7,85
130,Red pine,12,17.5,85
130,Red pine,17,21.6,85
130,Red pine,24,14.8,80
131,Red pine,6,20.8,87
131,Red pine,17,22.8,80
131,Red pine,35,20,82
131,Red pine,36,18.1,84
132,Red pine,2,14.3,94
132,Red pine,3,11.9,90
132,Red pine,5,16.5,93
132,Red pine,15,15.5,87
132,Red pine,37,13.1,86
132,Red pine,56,16.7,88
136,White pine,21,14.5,110
137,Red pine,53,17.9,70.2
137,Red pine,64,18.3,83.6
137,Red pine,68,12,48.8
140,Red pine,1,19,115
140,Red pine,3,16.8,118
140,Red pine,7,18.9,85.9
140,Red pine,10,20.8,85
140,Red pine,15,16.5,100
141,Red pine,1,19.7,118
141,Red pine,14,14.7,60
141,Red pine,23,24.9,100
143,Swamp conifers,21,25.4,102
145,Red pine,8,16.7,89
145,Red pine,11,18.2,83
145,Red pine,20,12.7,95
145,Red pine,53,12.4,71
145,Red pine,63,11,80
146,Aspen,26,6.5,62
154,Upland mixed hardwoods,3,15.8,58
168,Red pine,30,11,38
168,Red pine,38,10.6,43.5
168,Red pine,50,7,47
168,Red pine,51,8,43
172,Red pine,65,11.7,60
172,Red pine,126,13,58
172,Red pine,129,12.5,63
178,Red pine,38,4.8,18
181,Red pine,48,15.9,75
181,Red pine,50,15.1,81.4
202,Red pine,60,8.6,65
202,Red pine,65,5,60
202,Red pine,88,11.8,60
202,Red pine,96,9.1,60
203,Red pine,54,20.5,78
203,Red pine,90,4.5,46
203,Red pine,93,2.3,22
203,Red pine,116,8.4,60
204,Red pine,87,18.4,81
204,Red pine,88,15.4,78
204,Red pine,98,18.6,86
208,Red pine,1,26.9,107
208,Red pine,6,20,95
209,Red pine,2,14.9,92
209,Red pine,4,14.3,107
209,Red pine,5,16.4,95
209,Red pine,7,14.4,101
209,Red pine,9,13.6,100
209,Red pine,10,15.2,94.7
209,Red pine,22,12.9,93
209,Red pine,56,14.4,91
210,Red pine,36,9.7,52
210,Red pine,38,10.1,53
210,Red pine,39,10,56
210,Red pine,40,9.8,54
210,Red pine,41,7.3,31
210,Red pine,51,10.3,56
210,Red pine,59,12.2,59
210,Red pine,75,11.1,54
211,Balsam fir,38,18.2,63
211,Balsam fir,45,15.4,55
214,Red pine,53,12,57
214,Red pine,54,10.4,51
214,Red pine,80,9.8,60
216,Red pine,1,18,92
